rank,uid,username,type
1,9132259,树礼最喜欢の两仪Azaka,提督
2,6212286,SukiBlyat,提督
3,1263426985,-代号M-,提督
4,480442,埖開埖謝,舰长
5,25395080,这里是咸鱼王,舰长
6,171018323,撩见星空,舰长
7,355281320,从负到零01,舰长
8,6982193,依旧被命运裹挟,舰长
9,350128662,这里是梨洛洛呀,舰长
10,11720780,故海微风,舰长
11,18769503,世人皆知桃夭,舰长
12,2147232287,东风盛时燃起,舰长
13,1941449,雁老师,舰长
14,49789973,Mikanikos,舰长
15,308865,小道没钱,舰长
16,9029105,青灯火月,舰长
17,1051397284,-杜衡,舰长
18,9970815,-古原-,舰长
19,40191264,鉴观,舰长
20,1686348,神出鬼没的天小劫,舰长
21,1408055691,Onii_sama,舰长
22,427336873,九折-水平,舰长
23,180909006,这里是阿琛,舰长
24,3563525,東山小鳥,舰长
25,156985056,如梦亭阁,舰长
26,163674276,虚烨Carvedowl,舰长
27,350971650,石思Quadripole,舰长
28,30262687,贝格耶喽,舰长
29,57224112,谢冬瓜,舰长
30,2101200148,果冻不冻Aolisle,舰长
31,554376734,闲雲づ,舰长
32,18171692,神明不语,舰长
33,301906464,咖喱猴kiki,舰长
34,433417622,公主的玻璃冠,舰长
35,697737710,蝶蝶Hikari,舰长
36,30376551,飞羽心海,舰长
37,152391326,木槿忆年,舰长
38,5147381,从小就暗恋小狼的cc,舰长
39,34253561,落雨月夜,舰长
40,270921622,说了不再想TA,舰长
41,330374082,-小阿晨呦,舰长
42,24135130,风言之,舰长
43,4977135,婴丽贝,舰长
44,222894004,里回来了,舰长
45,241376133,一只unicorn丶,舰长
46,399942744,百摆晓,舰长
47,88758844,机颜,舰长
48,687140302,树礼の502,舰长
49,277993509,是阿鸣na,舰长
50,32449464,L_Mistoffelees_禾,舰长
51,535262,刹那_Setsuna,舰长
52,497630113,C小怪不乖,舰长
53,244814774,ichin0se,舰长
54,1079963319,不太牛逼,舰长
55,15806523,马星瞳老师,舰长
56,29619071,花间音Huahaiye,舰长
57,53006587,南笙浅梦墨离,舰长
58,188899065,浅辰清风,舰长
59,261641806,念红药知为谁生,舰长
60,113465024,柚米露,舰长
61,388173461,名叫阿茶,舰长
62,1310738499,心碎纸猴,舰长
63,15268927,旗鼓相当的,舰长
64,285319085,粉色肥肠,舰长
65,514358235,心龍铭南,舰长
66,413106,LazyKuma,舰长
67,1408033,桃井dd人,舰长
68,502835635,亿只小五六,舰长
69,2804862,中华田园U,舰长
70,400116528,火锅二锅头,舰长
71,157807163,洛玖遥,舰长
72,536630,夜行Hikari,舰长
73,1445359,邪恶-双子璃拉,舰长
74,139238131,茶会的贝斯,舰长
75,397694695,沐雨木木木,舰长
76,24178920,银翼战将,舰长
77,248869181,无名海湾,舰长
78,387388057,鱼皇,舰长
79,291570279,哦吼是安忆城,舰长
80,94861938,mugimugi酱,舰长
81,350861345,她和梦想一样远,舰长
82,5091576,噗通的抹阳,舰长
83,367295640,水晶胡萝卜丶,舰长
84,230448233,湫月是瓜的,舰长
85,441307228,样哦哦,舰长
86,201308,某科学超萌伪娘电磁炮,舰长
87,44131019,千璃宝宝不要不理我,舰长
88,25568063,xx小天使,舰长
89,215888780,虞惜不在请留言,舰长
90,77042051,丿Blank丶月光,舰长
91,322232173,某科学的DD,舰长
92,4403176,这不够色,舰长
93,348695692,临霁杂记,舰长
94,436193300,乆刕,舰长
95,443299188,偉大的賽佛瑞斯,舰长
96,230779624,冰殇逝,舰长
97,15014836,z狗云,舰长
98,1859465136,女仆-嘿嘿嘿,舰长
99,424713369,青煙-,舰长
100,341091854,纷雪落下,舰长
101,667038967,浅梦不见,舰长
102,262213218,澜泉sama,舰长
103,121156,果脯乾舞,舰长
104,29214095,Blinktime,舰长
105,476888066,王也道长亿贫如洗,舰长
106,349817680,虞苏凉,舰长
107,56161719,心仪心宜,舰长
108,669900996,唔不系笨喵,舰长
109,3546389397112836,马有容_PayMan,舰长
110,310825265,是潇嘛_,舰长
111,2096165067,-夕誓-,舰长
112,1881819355,兀立三行,舰长
113,381696485,树礼Sukiの青沟子,舰长
